,Time,Title,sentiment
0,2019-11-15,转录服务公司Rev曝隐私丑闻4万员工可访问客户数据,0
1,2019-11-15,联想集团CEO杨元庆：我OUT了95后才是智能消费担当,1
2,2019-11-12,等了10天，高瓴、格力宣布延后签约,0
3,2019-11-11,工信部印发《携号转网服务管理规定》12月起施行,1
4,2019-11-11,全球赛队踏上6G研发竞技场，6G将在2030年左右出现,1
5,2019-11-11,据悉贝佐斯曾致电布隆伯格谈及明年总统大选事宜,1
6,2019-11-11,环球时报：美国撼华为难又怎能搞垮中国供应链,1
7,2019-11-08,市场监管总局：加强双11网络集中促销期间市场监管,1
8,2019-11-08,丁肇中：中国有很多世界一流实验物理科学家,1
9,2019-11-08,工信部张峰：工业App数近1650个工业互联网进快车道,1
10,2019-11-08,9家电商平台已下架电子烟线下也将开展清查整治,1
11,2019-11-06,特斯拉:中国是除北美外最大单一市场将不断加大投入,1
12,2019-11-06,特斯拉与宁德时代达成初步电池供应协议,1
13,2019-11-06,报告称使用电子烟的美国高中生人数仍在增加,0
14,2019-11-06,威马汽车全资收购北京金凯鸿达汽车租赁公司,1
15,2019-11-06,支付业：躺着挣钱的时代结束支付机构服务下沉,0
16,2019-11-04,云从科技工商变更：创始人周曦卸任法人、经理、董事,0
17,2019-11-03,价值70万元国画快递中受损快递公司:只能赔300元,0
18,2019-11-03,中小学人工智能普及教育将为人工智能时代奠基,1
19,2019-11-01,联想35周年杨元庆发内部信：年收入已超过3500亿元,1
20,2019-11-01,河南一法院执行案尾号88888手机号拍出近10万,1
21,2019-11-01,中国力争本世纪中叶建成地月空间经济区,1
22,2019-10-09,马斯克回应质疑SpaceX或在年底送宇航员到空间站,1
23,2019-10-09,Twitter承认用户安全数据或被用于广告目的,0
24,2019-10-09,中国市场对于NBA来说，没那么重要吗？,0
25,2019-10-09,美国研制瞬间自毁聚合物固态快速过渡至分解,1
26,2019-10-09,被华为起诉的传音股价暴跌可忧患远不止如此,0
27,2019-09-30,美芯片巨头：失去华为，我们好难,1
28,2019-09-30,苏宁体育完成超20%裁员，并重启与阿里整合谈判,1
