Date,Bid,Descript
2010/2/4,000063.SZ,花旗 调 高 中兴通讯 目标价 至 港元 
2010/2/5,000063.SZ,花旗 中兴通讯 目标价 元 买入 评级 
2010/2/9,000063.SZ,中兴通讯 超 权证行 权 成本 有望 融资 亿 
2010/2/18,000063.SZ,泓 福 资产 中兴通讯 目标价 港元 
2010/2/21,000063.SZ,中兴通讯 预计 其 终端产品 需求 旺盛 
2010/2/24,000063.SZ,大 行 言论 中兴通讯 HK 逆市 升 逾 大华 继显 维持 买入 评级 
2010/2/24,000063.SZ,大华 继显 维持 中兴通讯 买入 评级 目标价 港元 
2010/2/24,000063.SZ,国信 证券 中兴通讯 后市 股价 将 有 更 大 空间 
2010/2/24,000063.SZ,中信证券 中兴通讯 盈利 水平 将 进一步 提升 
2010/2/25,000063.SZ,中兴通讯 行业 有景续 看涨 目标价 港元 
2010/3/11,000063.SZ,中兴通讯 联合 沃达丰 开设 研发 实验室 
2010/3/25,000063.SZ,中兴通讯 携手 全球 盟友 发力 移动 互联网 
2010/4/3,000063.SZ,中兴通讯 换帅 遭遇 罕见 放量 大跌 
2010/4/8,000063.SZ,中兴通讯 年 净利润 同比 增近 五成 
2010/4/9,000063.SZ,产业 中兴通讯 年收入 逾 
2010/4/9,000063.SZ,中兴通讯 年 资本支出 将 超过 人民币 
2010/4/9,000063.SZ,中金公司 中兴通讯 损益 符合 预期 
2010/4/9,000063.SZ,中兴通讯 国内 业务 去年 增幅 达 
2010/4/16,000063.SZ,大通 证券 中兴通讯 业绩 符合 预期 
2010/4/16,000063.SZ,中兴 与 华为 全球排名 双双 上升 
2010/4/28,000063.SZ,中信 建投 中兴通讯 半年 内 目标价 元 
2010/4/30,000063.SZ,中兴通讯 跌受 印度 禁止 进口 中国 产 电信 设备 报导 拖累 
2010/5/10,000063.SZ,中金公司 中兴通讯 估值 吸引力 浮现 
2010/5/12,000063.SZ,中兴通讯 表示 将 遵守 印度政府 的 安全 规定 
2010/5/12,000063.SZ,中兴通讯 称正 考虑 在 印度 开设 工厂 
2010/5/13,000063.SZ,中兴 通迅 高层 会晤 印度 安全 事务 官员 
2010/5/13,000063.SZ,中港 个股 中兴 通迅 高层 与 印度 安全 事务 官员 会面 
2010/5/17,000063.SZ,中兴通讯 全力 投入 TDLTE 
2010/5/18,000063.SZ,中兴 冀 手机 业务 年 占成 
2010/6/1,000063.SZ,中兴通讯 手机 终端 累计 销量 跻身 全球 前五 
2010/6/2,000063.SZ,中兴 印度 总裁 表态 不 可能 在 间谍 公司 服务 
2010/6/4,000063.SZ,光大 证券 印度 解禁 中国电信 设备 利好 中兴通讯 
2010/6/17,000063.SZ,中兴 获中 电信 亿 合约 
2010/6/18,000063.SZ,长江 证券 持续 看好 通信 系统 行业 
2010/6/19,000063.SZ,中兴通讯 固网 宽带 产品 居 全球 第二 
2010/6/28,000063.SZ,中兴通讯 在 印尼 建 CDMA 商用 网 交付 个 基站 
2010/7/5,000063.SZ,中兴 独家 中标 土耳其 电信 全网 IP 化 改造 大单 
2010/7/5,000063.SZ,国信 证券 警惕 通信 运营 与 设备 行业 投资 拐点 
2010/7/8,000063.SZ,产品 遭 印度 暂时 禁售 中兴通讯 全年 营收 或 降 
2010/7/8,000063.SZ,安信 证券 中兴通讯 价值 重估 因 毛利率 上升 
2010/7/16,000063.SZ,中兴通讯 斥资 亿 河源 建 基地 
2010/7/17,000063.SZ,中兴 亿 河源 建 研发 基地 
2010/7/17,000063.SZ,中兴通讯 拟 投资 亿建 生产 研发 培训基地 
2010/7/22,000063.SZ,中银国际 中兴通讯 下半年 前景 向 好 
2010/7/26,000063.SZ,中兴通讯 拟 涉水 外汇 衍生品 
2010/7/29,000063.SZ,国信 证券 推荐 按 需 配置 通信 行业 三 组合 
2010/8/9,000063.SZ,中兴通讯 已 同意 遵守 印度 新 的 电信 安全 规定 
2010/8/13,000063.SZ,中兴通讯 澄清 有关 空壳公司 报道 
2010/8/13,000063.SZ,安信 证券 中兴通讯 暴跌 带来 介入 机会 
2010/8/16,000063.SZ,摩通升 中兴 至 增持 上调 目标价 至元 
2010/8/19,000063.SZ,中兴通讯 中期 净利 同比 增逾一成 
2010/8/19,000063.SZ,中兴通讯 上半年 净利润 增长 至 人民币 
2010/8/19,000063.SZ,中兴通讯 首家 通过 印度 电信 新政 
2010/8/20,000063.SZ,中信证券 中兴通讯 持续 成长 力 实质性 提升 
2010/8/20,000063.SZ,中金公司 中兴通讯 中 报 风险 释放 押注 下半年 
2010/8/23,000063.SZ,中兴通讯 将 投资 衍生品 以 降低 汇兑 风险 
2010/8/23,000063.SZ,中兴通讯 获得 亿美元 订单 
2010/8/23,000063.SZ,中兴通讯 将 在 匈牙利 建设 电信 网络 
2010/8/23,000063.SZ,中兴通讯 将 为 TelenorHungary 建设 电信 网络 
2010/8/23,000063.SZ,中兴通讯 我们 不是 第二个 华为 
2010/8/23,000063.SZ,中兴通讯 赢得 亿 欧元 合同 
2010/9/1,000063.SZ,中兴通讯 确定 年 国内 企业 网 第一 目标 
2010/9/1,000063.SZ,国航 携手 嘉惠 国际 与 中兴通讯 签署 服务 协议 
2010/9/3,000063.SZ,东方 证券 中兴通讯 将 迎来 国内 G 机遇 
2010/9/7,000063.SZ,欧盟 拟 对华 为 与 中兴 实施 第二轮 反倾销 调查 
2010/9/7,000063.SZ,光大 证券 给予 中兴通讯 今年 目标价 元 
2010/9/11,000063.SZ,中兴通讯 获 PTN 产品 最具 竞争力 奖 
2010/9/14,000063.SZ,中兴通讯 独家 获得 波兰 CDMA 订单 
2010/9/16,000063.SZ,中信 建投 中兴通讯 迎来 宝贵 发展 机遇 
2010/9/17,000063.SZ,长城 证券 四季度 通信 行业 关注 三 主题 
2010/9/19,000063.SZ,中国电信 携手 中兴 及 华为 推款 千元 Android 手机 
2010/9/27,000063.SZ,中兴通讯 拟 参股 设立 中兴 创业投资 基金 公司 
2010/9/27,000063.SZ,中兴通讯 拟 出资 认购 创投 基金 
2010/9/27,000063.SZ,中兴通讯 G 设备 进入 台湾 市场 
2010/9/27,000063.SZ,中兴通讯 等 企业 膺 首届 广东 质量奖 
2010/9/28,000063.SZ,中兴通讯 亿试 水 创投 业 
2010/9/30,000063.SZ,渤海 证券 通信 行业 选择网络 优化 设备 企业 
2010/10/12,000063.SZ,中兴 推出 首款 基于 Android 操作系统 平板 电脑 
2010/10/12,000063.SZ,今年 中兴 移动 通讯 终端 出货 将近 万部 
2010/10/13,000063.SZ,中信证券 中兴通讯 具有 估值 优势 
2010/10/14,000063.SZ,传 中兴 为 美 两大 运营商 生产 Android 手机 
2010/10/27,000063.SZ,中兴通讯 第三季度 净利 亿 同比 增长 
2010/10/28,000063.SZ,中信证券 中兴通讯 业绩 持续增长 确定 
2010/11/2,000063.SZ,高华 证券 中兴通讯 较 高 毛利率 抵消 收入 不及 预期 影响 
2010/11/12,000063.SZ,瑞银 证券 中兴通讯 手机 招标 再次 拿下 大单 
2010/11/17,000063.SZ,国泰君安 给予 通信 设备 行业 增持 评级 
2010/11/18,000063.SZ,银河证券 看好 光通信 设备 和 网络 配线 设备 行业 
2010/11/19,000063.SZ,申银万国 中兴通讯 成长 加速 估值 仍 在 低位 
2010/11/22,000063.SZ,申银万国 通信 行业 资本 开支 提速 带来 主题性 机会 
2010/12/2,000063.SZ,长江 证券 中兴通讯 进入 日本 市场前景 向 好 
2010/12/2,000063.SZ,申银万国 中兴通讯 当前 估值 仍 在 低谷 
2010/12/2,000063.SZ,华泰 联合 推荐 通信 行业 三条 投资 主线 
2010/12/3,000063.SZ,光大 证券 中兴通讯 亚太 市场 蓄势待发 
2010/12/9,000063.SZ,中信 建投 中兴通讯 印度 新 单促 明年 业绩 增长 
2010/12/9,000063.SZ,申银万国 中兴通讯 当前 估值 仍 在 低谷 
2010/12/9,000063.SZ,中兴通讯 印度 签 价值 万美元 合同 
2010/12/13,000063.SZ,中兴通讯 万股 股权 激励 股 周三 上市 
2010/12/15,000063.SZ,申银万国 中 移动 亿 宽带 投资 将 拉升 光通信 行业 需求 
2010/12/17,000063.SZ,中兴通讯 在 德国 Darmstadt 设立 办事处 
2010/12/21,000063.SZ,中兴通讯 不遗余力 推进 CRAN 建设 
2010/12/22,000063.SZ,中兴 智利 计划 年 增长 
2010/12/22,000063.SZ,国金 证券 中兴通讯 目前 价格 是 安全 买点 
2010/12/23,000063.SZ,中兴通讯 拟 设立 西安 软件 公司 
2010/12/23,000063.SZ,传 中兴通讯 母公司 谋求 上市 
2010/12/24,000063.SZ,中兴通讯 挺进 创投 业 
