Date,Bid,Descript
2010/2/9,000651.SZ,国信 证券 看好 格力电器 建议 现价 买入 
2010/2/26,000651.SZ,中信证券 强烈 看好 格力电器 目前 投资 机会 
2010/3/3,000651.SZ,申银万国 格力电器 今年 仍能 保持 较 高 增速 
2010/3/3,000651.SZ,第一 创业 家电 需求 仍 呈 旺盛 关注 估值 优势 
2010/3/4,000651.SZ,光大 证券 三 家电 股将 大幅 受益 财政补贴 
2010/3/4,000651.SZ,中金公司 仍然 看好 家电 股 全年 表现 
2010/3/12,000651.SZ,格力电器 发出 中国 创造 之 路 倡议书 
2010/4/9,000651.SZ,格力电器 现身 中国 制冷 展 
2010/4/12,000651.SZ,银河证券 关注 估值 提升 和 需求 强劲 家电 股 
2010/4/21,000651.SZ,申银万国 家电 板块 估值 优势 显现 
2010/4/22,000651.SZ,国泰君安 格力电器 价值 低估 房地产 影响 有限 
2010/4/27,000651.SZ,白电 企业 盈利 能力 回暖 格力 美的 毛利率 提升 
2010/4/27,000651.SZ,中信证券 格力电器 利润率 创新 高 
2010/4/27,000651.SZ,格力 年报 自 曝 小家电 业绩 董明珠 失言 还是 撒谎 
2010/4/28,000651.SZ,格力电器 去年 净利 亿增近 五成 
2010/4/29,000651.SZ,国泰君安 格力电器 一季度 业绩 低于 预期 
2010/5/13,000651.SZ,东北 证券 格力电器 低 估值 凸显 高 安全 边际 
2010/5/31,000651.SZ,中信证券 格力电器 抗 行业 风险 措施 完备 
2010/6/23,000651.SZ,七 部门 印发 家电 以旧换新 实施办法 受益 股 一览 
2010/7/8,000651.SZ,二 股东 宣布 举牌 格力电器 持股 已达 
2010/7/8,000651.SZ,国金 证券 家电 股中报 大多 符合 预期 
2010/7/9,000651.SZ,二 股东 举牌 格力电器 或 涉嫌 违规 
2010/7/10,000651.SZ,格力电器 三项 创新 被 认定 为 国家 科技 计划 
2010/7/29,000651.SZ,中信证券 家电 板块 三季度 将 继续 表现 较 好 
2010/8/6,000651.SZ,第一 创业 农村 市场 促 家电行业 需求 稳定增长 
2010/8/18,000651.SZ,格力电器 增发 亿股 用于 扩大 业务 规模 
2010/8/18,000651.SZ,格力电器 中期 净利 亿拟 增发 亿股 
2010/8/19,000651.SZ,申银万国 格力电器 下半年 将现 淡季 优势 
2010/8/19,000651.SZ,中金公司 格力电器 增发 剑 指 商用 空调 
2010/8/19,000651.SZ,格力电器 半年 净利 增 三成 
2010/8/19,000651.SZ,格力电器 增发
2010/8/20,000651.SZ,中信证券 格力电器 仍 有 超 预期 实力 
2010/8/20,000651.SZ,国泰君安 格力电器 新 市场 空间 提升 估值 
2010/8/28,000651.SZ,格力电器 中央空调 连续 中标 千万元 大 项目 
2010/9/21,000651.SZ,中金公司 格力电器 中长期 增长 动力 无忧 
2010/9/21,000651.SZ,格力电器 定增 议案 获 股东大会 通过 
2010/9/26,000651.SZ,格力电器 入选 最佳 董事会 强 和 南方 低碳 指数 
2010/9/28,000651.SZ,格力电器 荣膺 首届 广东省政府 质量奖 
2010/10/8,000651.SZ,格力电器 新 产品 获 欧洲 市场 通行证 
2010/10/9,000651.SZ,中信证券 白色 家电 三 季报 业绩 料 将 优异 
2010/10/13,000651.SZ,快讯 格力电器 冲击 涨停 带领 电器 板块 急升 
2010/10/15,000651.SZ,产业 聚焦 美的 出 埃及 格力 入 郑州 家电业 加速 全球 布局 
2010/10/21,000651.SZ,格力电器 第三季度 净利 同比 大增 
2010/10/22,000651.SZ,中金公司 上调 格力电器 全年 盈利 预测 
2010/11/9,000651.SZ,格力 中标 中央 国家机关 空调 采购 补充 项目 
2010/11/19,000651.SZ,长江 证券 格力电器 业绩 弹性 空间 增大 
2010/11/24,000651.SZ,国金 证券 上调 格力电器 明后 年 业绩 
2010/11/26,000651.SZ,华泰 证券 格力电器 四季度 业绩 有望 继续 靓丽 
2010/11/30,000651.SZ,国金 证券 家电 股年 业绩 增长 确定性 很大 
2010/12/1,000651.SZ,光大 证券 明年 家电业 有望 实现 增速 
2010/12/3,000651.SZ,银河证券 白色 家电 估值 具有 巨大 吸引力 
2010/12/6,000651.SZ,国泰君安 家电行业 高位 运行 延续 盈利 能力 提升 
2010/12/16,000651.SZ,格力 中央空调 山东 济宁 再 获 万元 大单 
2010/12/24,000651.SZ,安信 证券 家电企业 提升 市场 集中度 
2010/12/30,000651.SZ,格力电器 自主 品牌 打开 美国市场 
2011/1/5,000651.SZ,Intertek 与 格力 签署 全球战略 合作 谅解备忘录 
2011/1/6,000651.SZ,格力 美的 抢跑 太阳能 空调 大战 预热 
2011/1/6,000651.SZ,更正 银河证券 家电行业 今年 月 关注 蓝筹股 
2011/1/12,000651.SZ,中金公司 持续 看好 三家 白色 家电 龙头 公司 
2011/1/17,000651.SZ,中金公司 消费 板块 中 家电 股 估值 最低 
2011/1/20,000651.SZ,国金 证券 家电 股 目前 是 很 好 配置 时 点 
2011/1/30,000651.SZ,海通 证券 家电行业 估值 优势 明显 
2011/2/1,000651.SZ,光大 证券 春节 来临 二月 超配 家电 板块 
2011/2/10,000651.SZ,光大 证券 家电 板块 二月 机会 大于 风险 
2011/2/11,000651.SZ,国泰君安 家电 板块 有 较 好 估值 修复 契机 
2011/2/14,000651.SZ,中金公司 家电行业 高 增长 确定 低 估值 修复 
2011/2/15,000651.SZ,广发 证券 家电 板块 上半年 获 超额 收益 可能性 高 
2011/2/22,000651.SZ,空调 涨价 行至 临界点 家电 连锁 巨头 抢货 
2011/2/25,000651.SZ,金蝶 与 格力电器 签署 信息化 战略 合作 协议 
2011/3/1,000651.SZ,国金 证券 建议 继续 增持 家电 类股票 
2011/3/1,000651.SZ,光大 证券 万套 保障 房 助推 家电 板块 估值 提升 
2011/3/1,000651.SZ,东方 证券 家电行业 低 估值 维持 看好 
2011/3/2,000651.SZ,公告 格力 集团 全额 发行 亿年 期短 融券 利率 
2011/3/4,000651.SZ,兴业 证券 政策 效应 刺激 家电 以旧换新 销量 乐观 增长 
2011/3/7,000651.SZ,中信证券 重点 关注 家电行业 低 估值 龙头股 
2011/3/9,000651.SZ,董明珠 格力 正 考虑 去 美国 建厂 
2011/3/9,000651.SZ,银河证券 政策 延续 家电行业 将 保持 高 增长 
2011/3/21,000651.SZ,中信证券 维持 家电行业 强于 大 市 评级 
2011/3/22,000651.SZ,公告 珠海 格力 集团 日 将 发行 亿年 期中 票 
2011/3/22,000651.SZ,两市 融资 买入 亿增 格力电器 居首 
2011/3/23,000651.SZ,格力电器 去年 净利 增近 五成 拟派 元 
2011/3/24,000651.SZ,国信 证券 格力空调 在 同行业 中 的 定价 能力 最强 
2011/3/24,000651.SZ,格力电器 净利 增 应收 账款 同比 翻番 
2011/3/24,000651.SZ,中金公司 格力电器 年 利润 略超 预期 
2011/3/28,000651.SZ,公告 珠海 格力 集团 日 全额 发行 亿年 期中 票 利率 
2011/3/28,000651.SZ,华夏 退 大成 进 刘文动憾 失 格力 亿浮盈 
2011/3/28,000651.SZ,国信 证券 看好 具备 定价 能力 和 高 成长 家电企业 
2011/4/1,000651.SZ,格力 爆炸 门 初步 判定 系 人为 
2011/4/2,000651.SZ,产品升级 成 家电行业 主旋律 
2011/4/7,000651.SZ,海通 证券 家电 龙头企业 估值 优势 再现 
2011/4/13,000651.SZ,格力电器 估值 优势 明显 给予 买入 评级 
2011/4/18,000651.SZ,中金公司 家电 板块 高 增长 已有 预期 
2011/4/21,000651.SZ,格力电器 一季度 净利 同比 增 
2011/4/22,000651.SZ,格力电器 一季度 业绩 符合 预期 
2011/4/22,000651.SZ,中信证券 格力电器 继续 高速 增长 
2011/4/27,000651.SZ,格力电器 广交会 成交 亿美元 
2011/5/3,000651.SZ,格力电器 再夺 中央空调 上 千万 大单 
2011/5/4,000651.SZ,美的 一季度 收入 增 格力 海尔 探讨 渠道 联合 
2011/5/6,000651.SZ,格力电器 年 股东大会 通过 十一项 议案 
2011/5/9,000651.SZ,格力电器 内需 超 预期 给予 推荐 评级 
2011/5/9,000651.SZ,格力电器 二季度 超 预期 成长 可 期 推荐 评级 
2011/5/9,000651.SZ,格力电器 大涨 家电 股 活跃 
2011/5/9,000651.SZ,国信 证券 预测 格力电器 二季度 收入 增速 有望 超 预期 
2011/5/9,000651.SZ,格力电器 内需 超 预期 长期 增长 空间 巨大 
2011/5/10,000651.SZ,格力电器 二 季度末 望 增发 维持 推荐 评级 
2011/5/12,000651.SZ,格力电器 专业化 之路 越 走 越 宽广 
2011/5/12,000651.SZ,格力电器 上游 配套 压力 缓解 期待 增发 启动 
2011/5/12,000651.SZ,家电 板块 弱市 不 弱势 
2011/5/13,000651.SZ,格力电器 压力 缓解 期待 增发 启动 强烈推荐 
2011/5/13,000651.SZ,格力电器 二季度 业绩 增长 或超 预期 
2011/5/13,000651.SZ,格力电器 二季度 业绩 增长 或超 预期 维持 推荐 评级 
2011/5/16,000651.SZ,日信 证券 格力电器 目标价 元 
2011/5/16,000651.SZ,兴业 证券 给予 格力电器 强烈推荐 评级 
2011/5/16,000651.SZ,格力电器 上游 配套 压力 缓解 强烈推荐 评级 
2011/5/23,000651.SZ,格力电器 股权 分派 实施 每股 派元 
2011/5/30,000651.SZ,中金公司 看好 家电 龙头 公司 后续 表现 
2011/5/31,000651.SZ,国信 证券 看好 估值 安全 竞争力 提升 家电 品种 
2011/6/2,000651.SZ,格力 以 核心 科技 领跑 低碳 时代 
2011/6/2,000651.SZ,国金 证券 家电 板块 首选 空调 股 
2011/6/8,000651.SZ,东方 证券 家电行业 或 将 维持 高 增长 
2011/6/9,000651.SZ,东北 证券 格力电器 季度 增长 将 有望 超 预期 
2011/6/15,000651.SZ,格力电器 获 京沪 高铁 空调 订单 
2011/6/17,000651.SZ,安信 证券 推荐 家电 板块 三家 公司 
2011/6/17,000651.SZ,国金 证券 家电 板块 估值 水平 相对 安全 
2011/6/20,000651.SZ,中信证券 家电 空调 行业 处于 合理 估值 区间 偏下 
2011/6/21,000651.SZ,格力电器 专一 专注 的 空调 巨头 
2011/6/21,000651.SZ,东方 证券 格力电器 目标价 元 
2011/6/22,000651.SZ,空调 双 寡头 格力 美的 产销两旺 
2011/6/22,000651.SZ,宏源证券 保障 房 建设 利好 家电行业 
2011/6/22,000651.SZ,信 达 证券 家电行业 中长期 稳定增长 
2011/6/23,000651.SZ,格力 在 美设 分公司 用户 超过 亿 
2011/6/27,000651.SZ,天增筹 只 股基借 格力电器 反弹 冲刺 上半年 业绩 榜单 
